File Name,	 vector,	 SM Loc (X), 	 SM Loc (Y), 	 SM Loc (Z), 	 L*,	 converged L*,	 Convergence Lines 	, tol
../../../unit_tests/test_data/WHISingle.vts,	B,	2.14942669868,	2.4940931797,	0.831415712833,	3.46712581487,	3.448628796,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.33284080029,	2.08227181435,	0.694133460522,	nan,	nan,	2.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.54587900639,	2.41531276703,	0.805153906345,	3.07263984546,	3.06868791626,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.80187952518,	2.74268865585,	0.914286017418,	3.54273549554,	3.54462508941,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.04973649979,	2.22465229034,	0.741596460342,	2.70561132443,	2.700118855,	7.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.21901500225,	2.58366012573,	0.861273169518,	3.06930086231,	3.09124016759,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.43013942242,	2.94484996796,	0.981677234173,	3.56142585305,	3.58575906749,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	0.756347477436,	2.33088088036,	0.77700817585,	2.74306980866,	2.74306980866,	5.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	0.879352867603,	2.71030092239,	0.903489291668,	3.09736824456,	3.1079428376,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.04016971588,	3.0997607708,	1.03331744671,	3.615877789,	3.63892866687,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	0.456321567297,	2.40159082413,	0.800579607487,	nan,	nan,	2.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	0.531090080738,	2.79557561874,	0.931915938854,	3.12824730113,	3.13995375421,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	0.637039959431,	3.20660495758,	1.06893420219,	3.68229207661,	3.70267971086,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	0.152522087097,	2.43736767769,	0.812506020069,	2.74515778042,	2.74515778042,	5.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	0.177632078528,	2.83979272842,	0.946655988693,	3.15691828266,	3.15755198923,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	0.225283831358,	3.26471471786,	1.08830559254,	3.65722018064,	3.67905928342,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.152675285935,	2.4385843277,	0.812911570072,	nan,	nan,	2.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.178059756756,	2.84319376945,	0.947789728642,	3.14848445001,	3.16542426656,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.190773889422,	3.27376842499,	1.09132361412,	3.65812158464,	3.67829643103,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.457069456577,	2.40513253212,	0.801760315895,	2.74328011799,	2.7530742972,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.533183157444,	2.80548667908,	0.935219943523,	3.13114843935,	3.14244395484,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.606878697872,	3.23309874535,	1.07776606083,	3.67512590225,	3.69125165078,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.758250951767,	2.33651185036,	0.778885424137,	2.67994552017,	2.68981548367,	8.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.884679734707,	2.7260620594,	0.908743441105,	3.11799459521,	3.1387089296,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.01849079132,	3.14206266403,	1.04741883278,	3.63399798877,	3.66638335271,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.05328691006,	2.23201775551,	0.744051873684,	nan,	nan,	2.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.22894823551,	2.60426664352,	0.868142545223,	3.11001949508,	3.12810899894,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.4206391573,	3.00040698051,	1.00019741058,	3.61264816357,	3.63484652985,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.33846759796,	2.09093666077,	0.697021901608,	nan,	nan,	2.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.56160354614,	2.43952989578,	0.813226878643,	3.05552165399,	3.06316919826,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.80778348446,	2.80823588371,	0.936136543751,	3.57810499508,	3.58504457589,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.60911154747,	1.91281700134,	0.63764500618,	nan,	nan,	2.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.87721347809,	2.23153305054,	0.743890166283,	3.06416577001,	3.05430681712,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.17350745201,	2.56597185135,	0.855376660824,	3.55531740543,	3.54898163455,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.85954809189,	1.69789016247,	0.565998315811,	2.57705945356,	2.58647972571,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.1692378521,	1.98066318035,	0.660261869431,	3.02052438482,	3.02978137763,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.51041913033,	2.27474999428,	0.758296847343,	3.52212018065,	3.51388747919,	9.0,	1.0
